ticker,company_name,fiscal_quarter,fiscal_year,calendar_date,debt_to_assets,book_to_market,earnings_yield,industry,sector
A,"Agilent Technologies, Inc.",Q2,2023,2023-04-30,0.25324314306893997,0.1456020269399526,0.007606263982102909,Medical - Diagnostics & Research,Healthcare
A,"Agilent Technologies, Inc.",Q3,2023,2023-07-31,0.2612646370023419,0.15723830911388093,0.003160608833069949,Medical - Diagnostics & Research,Healthcare
A,"Agilent Technologies, Inc.",Q4,2023,2023-10-31,0.258385208584967,0.19572820267596786,0.01593820279651902,Medical - Diagnostics & Research,Healthcare
A,"Agilent Technologies, Inc.",Q1,2024,2024-01-31,0.23337595907928388,0.16048217268172246,0.009042553191489361,Medical - Diagnostics & Research,Healthcare
AA,Alcoa Corporation,Q2,2023,2023-06-30,0.1280436013590034,0.822565684638985,-0.017236165709101903,Aluminum,Basic Materials
AA,Alcoa Corporation,Q3,2023,2023-09-30,0.1300567651074226,0.8916388832860719,-0.03308694121788103,Aluminum,Basic Materials
AA,Alcoa Corporation,Q4,2023,2023-12-31,0.1352878841398799,0.7135884276019302,-0.02516476932294787,Aluminum,Basic Materials
AA,Alcoa Corporation,Q1,2024,2024-03-31,0.17783361250697935,0.6195031975265146,-0.03921023359288098,Aluminum,Basic Materials
AAGPX,American Beacon Large Cap Value Fund Investor Class,Q1,2023,2022-10-31,0.0011868624746376717,1.8598806454488068,0.05913348946135832,Asset Management,Financial Services
AAGPX,American Beacon Large Cap Value Fund Investor Class,Q2,2023,2023-01-31,0.0011868624746376717,1.73021576384889,0.05501089324618737,Asset Management,Financial Services
AAGPX,American Beacon Large Cap Value Fund Investor Class,Q3,2023,2023-04-30,0.0021251170229996653,1.732374344216904,-0.04047890535917902,Asset Management,Financial Services
AAGPX,American Beacon Large Cap Value Fund Investor Class,Q4,2023,2023-07-31,0.0021251170229996653,1.6094198091930347,-0.03760593220338983,Asset Management,Financial Services
AAISX,American Beacon International Equity Fund Advisor Class,Q1,2023,2023-03-31,0.011668481491139505,2.2334833873098425,-0.14295925661186562,Asset Management,Financial Services
AAISX,American Beacon International Equity Fund Advisor Class,Q2,2023,2023-06-30,0.011174914684284361,2.2498623486383824,0.30131306150656534,Asset Management,Financial Services
AAISX,American Beacon International Equity Fund Advisor Class,Q3,2023,2023-09-30,0.01129034404736403,1.8495085472511392,0.4190064794816415,Asset Management,Financial Services
AAISX,American Beacon International Equity Fund Advisor Class,Q4,2023,2023-12-31,0.0108179225329387,2.524142769351468,-0.39750328515111694,Asset Management,Financial Services
AAL,American Airlines Group Inc.,Q2,2023,2023-06-30,0.6331103181683021,-0.37396743582651426,0.11426978818283165,"Airlines, Airports & Air Services",Industrials
AAL,American Airlines Group Inc.,Q3,2023,2023-09-30,0.7209447428893184,-0.6129416331736013,-0.06479313036690085,"Airlines, Airports & Air Services",Industrials
AAL,American Airlines Group Inc.,Q4,2023,2023-12-31,0.7450918202289956,-0.5782620490852438,0.002183406113537118,"Airlines, Airports & Air Services",Industrials
AAL,American Airlines Group Inc.,Q1,2024,2024-03-31,0.6222042743538767,-0.6094551051168663,-0.03488372093023256,"Airlines, Airports & Air Services",Industrials
