quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2023Q1,ACVA,Auto - Dealerships,Consumer Cyclical,0.09596572164715364,2058678316.0,12.91,0.23473126070493613,-0.008520526723470178,442
2023Q2,ACVA,Auto - Dealerships,Consumer Cyclical,0.1121295320354073,2770591335.0,17.27,0.17290459407111997,-0.005657209033005211,445
2023Q3,ACVA,Auto - Dealerships,Consumer Cyclical,0.1094794616529939,2435296842.0,15.18,0.1918033119485357,-0.007246376811594203,451
2023Q4,ACVA,Auto - Dealerships,Consumer Cyclical,0.1246039760587004,2441793205.0,15.15,0.18696423554613115,-0.009240924092409241,487
2023Q1,NVR,Residential Construction,Consumer Cyclical,0.16686962682925424,18179431468.0,5572.189941,0.21305835192343026,0.01907867483442629,153
2023Q2,NVR,Residential Construction,Consumer Cyclical,0.1622782052969829,20695800545.0,6350.62,0.20045593798226174,0.019500458222976656,160
2023Q3,NVR,Residential Construction,Consumer Cyclical,0.15966604014931587,19433577727.0,5963.3,0.21470997561141775,0.022289671826002378,151
2023Q4,NVR,Residential Construction,Consumer Cyclical,0.15364076563254297,22345436400.0,7000.45,0.19532959311548734,0.018351677392167646,152
2023Q1,SMR,Renewable Utilities,Utilities,0.0,2001934627.0,9.09,0.4775744784001215,-0.0176017601760176,444
2023Q2,SMR,Renewable Utilities,Utilities,0.0,1553898091.0,6.8,0.2244131465928763,-0.01911764705882353,540
2023Q3,SMR,Renewable Utilities,Utilities,0.0,1119720683.0,4.9,0.28883771117079493,-0.053061224489795916,573
2023Q4,SMR,Renewable Utilities,Utilities,0.006648640475322203,772489991.0,3.29,0.36941701873331545,-0.0729483282674772,620
2023Q1,BRK-A,Insurance - Diversified,Financial Services,0.1239870340356564,674906755200.0,465600.0,0.7440509581232289,0.05235180412371134,1
2023Q2,BRK-A,Insurance - Diversified,Financial Services,0.12034394132720415,749232234250.0,517810.0,0.7192807139909557,0.04785539097352311,1
2023Q3,BRK-A,Insurance - Diversified,Financial Services,0.12234234993867245,769007358225.0,531477.0,0.6831274036344088,-0.016595261883392883,1
